"Date","Price","Open","High","Low","Vol.","Change %"
"22/10/2025","5,639.21","5,672.24","5,685.30","5,635.90","","-0.84%"
"21/10/2025","5,686.83","5,686.77","5,699.13","5,670.65","","0.10%"
"20/10/2025","5,680.93","5,626.25","5,688.17","5,626.25","","1.31%"
"17/10/2025","5,607.39","5,618.48","5,640.56","5,555.25","","-0.79%"
"16/10/2025","5,652.01","5,604.34","5,652.11","5,585.95","","0.84%"
"15/10/2025","5,605.03","5,566.97","5,639.95","5,566.97","","0.95%"
"14/10/2025","5,552.05","5,552.49","5,553.22","5,487.67","","-0.29%"
"13/10/2025","5,568.19","5,540.54","5,591.29","5,540.54","","0.67%"
"10/10/2025","5,531.32","5,628.83","5,648.59","5,529.63","","-1.68%"
"09/10/2025","5,625.56","5,651.03","5,665.03","5,625.56","","-0.43%"
"08/10/2025","5,649.73","5,594.09","5,657.34","5,594.09","","0.64%"
"07/10/2025","5,613.62","5,629.64","5,643.61","5,610.50","","-0.27%"
"06/10/2025","5,628.72","5,655.17","5,655.17","5,605.52","","-0.41%"
"03/10/2025","5,651.71","5,658.06","5,667.92","5,641.35","","0.10%"
"02/10/2025","5,645.81","5,617.17","5,674.55","5,617.17","","1.16%"
"01/10/2025","5,581.21","5,513.15","5,590.49","5,503.99","","0.93%"
"30/09/2025","5,529.96","5,503.26","5,529.96","5,484.22","","0.42%"
"29/09/2025","5,506.85","5,514.49","5,520.89","5,496.34","","0.13%"
"26/09/2025","5,499.70","5,448.89","5,503.69","5,448.89","","1.01%"
"25/09/2025","5,444.89","5,463.55","5,463.55","5,415.31","","-0.36%"
"24/09/2025","5,464.56","5,472.09","5,481.93","5,450.12","","-0.14%"
"23/09/2025","5,472.39","5,445.83","5,495.02","5,445.83","","0.56%"
"22/09/2025","5,442.05","5,462.65","5,462.65","5,426.58","","-0.30%"
"19/09/2025","5,458.42","5,459.25","5,494.13","5,452.86","","0.03%"
"18/09/2025","5,456.67","5,389.00","5,463.15","5,389.00","","1.62%"
"17/09/2025","5,369.70","5,381.69","5,393.92","5,361.11","","-0.05%"
"16/09/2025","5,372.31","5,439.92","5,446.19","5,370.58","","-1.25%"
"15/09/2025","5,440.40","5,402.90","5,446.17","5,402.90","","0.92%"
"12/09/2025","5,390.71","5,387.15","5,397.20","5,359.31","","0.07%"
"11/09/2025","5,386.77","5,362.86","5,403.93","5,354.61","","0.47%"
"10/09/2025","5,361.47","5,387.46","5,413.06","5,354.56","","-0.14%"
"09/09/2025","5,368.82","5,364.72","5,387.84","5,348.15","","0.11%"
"08/09/2025","5,362.81","5,324.66","5,368.36","5,324.66","","0.84%"
"05/09/2025","5,318.15","5,356.79","5,372.26","5,301.18","","-0.53%"
"04/09/2025","5,346.71","5,327.05","5,351.54","5,313.22","","0.41%"
"03/09/2025","5,325.01","5,311.89","5,342.45","5,304.98","","0.64%"
"02/09/2025","5,291.04","5,367.56","5,368.76","5,290.46","","-1.42%"
"01/09/2025","5,367.08","5,351.44","5,377.74","5,351.44","","0.29%"
"29/08/2025","5,351.73","5,384.93","5,395.23","5,351.64","","-0.83%"
"28/08/2025","5,396.73","5,398.54","5,430.81","5,378.05","","0.07%"
"27/08/2025","5,393.07","5,385.69","5,403.99","5,365.97","","0.17%"
"26/08/2025","5,383.68","5,413.32","5,413.32","5,376.11","","-1.11%"
"25/08/2025","5,443.96","5,480.53","5,480.53","5,441.08","","-0.81%"
"22/08/2025","5,488.23","5,457.94","5,510.69","5,448.56","","0.48%"
"21/08/2025","5,462.16","5,469.92","5,470.60","5,439.27","","-0.19%"
